type,weight,source,target,key,source_id,source_country,target_id,target_country
ownership,0.90013963,Spanish Shrimp  Carriers,12744,0,Spanish Shrimp  Carriers,Nalakond,12744,Unknown
partnership,0.9648761,Spanish Shrimp  Carriers,290834957,0,Spanish Shrimp  Carriers,Nalakond,290834957,Unknown
ownership,0.9642126,Spanish Shrimp  Carriers,3506021,0,Spanish Shrimp  Carriers,Nalakond,3506021,Unknown
family_relationship,0.82348585,Spanish Shrimp  Carriers,Conventionâ,0,Spanish Shrimp  Carriers,Nalakond,Conventionâ,Unknown
family_relationship,0.8931523,Spanish Shrimp  Carriers,2262,0,Spanish Shrimp  Carriers,Nalakond,2262,Unknown
family_relationship,0.8393061,Spanish Shrimp  Carriers,Ashley Davis,0,Spanish Shrimp  Carriers,Nalakond,Ashley Davis,Syrithania
family_relationship,0.88508075,Spanish Shrimp  Carriers,924,0,Spanish Shrimp  Carriers,Nalakond,924,Unknown
family_relationship,0.8865156,Spanish Shrimp  Carriers,95,0,Spanish Shrimp  Carriers,Nalakond,95,Unknown
membership,0.8986875,Spanish Shrimp  Carriers,Ancla Azul Company Solutions,0,Spanish Shrimp  Carriers,Nalakond,Ancla Azul Company Solutions,Unknown
partnership,0.87834406,Spanish Shrimp  Carriers,185106,0,Spanish Shrimp  Carriers,Nalakond,185106,Unknown
family_relationship,0.9664978,Spanish Shrimp  Carriers,Stephanie Garner,0,Spanish Shrimp  Carriers,Nalakond,Stephanie Garner,Country_271835
membership,0.95491886,Spanish Shrimp  Carriers,âpair,0,Spanish Shrimp  Carriers,Nalakond,âpair,Unknown
ownership,0.906598,Spanish Shrimp  Carriers,Guessl,0,Spanish Shrimp  Carriers,Nalakond,Guessl,Unknown
ownership,0.85037404,Spanish Shrimp  Carriers,Federated,0,Spanish Shrimp  Carriers,Nalakond,Federated,Unknown
family_relationship,0.8211689,Spanish Shrimp  Carriers,94760735,0,Spanish Shrimp  Carriers,Nalakond,94760735,Unknown
family_relationship,0.91274184,Spanish Shrimp  Carriers,83,0,Spanish Shrimp  Carriers,Nalakond,83,Unknown
ownership,0.8865423,Spanish Shrimp  Carriers,imo,0,Spanish Shrimp  Carriers,Nalakond,imo,Unknown
partnership,0.92457855,Spanish Shrimp  Carriers,Torremolinos,0,Spanish Shrimp  Carriers,Nalakond,Torremolinos,Unknown
