type,country,id,community
company,Nalakond,Spanish Shrimp  Carriers,2
organization,Unknown,185040354,4
organization,Unknown,4,4
organization,Unknown,860067396,2
organization,Unknown,664738735,2
location,Unknown,77b46bc7-7e31-41a0-973c-e633011d21b0,1
organization,Unknown,7,4
organization,Unknown,7,4
organization,Unknown,35,4
political_organization,Unknown,6406040,4
person,Country_271835,Jamie Knox,4
organization,Unknown,3506021,2
political_organization,Unknown,348079,2
political_organization,Unknown,78,2
organization,Unknown,300668979,2
organization,Unknown,2,6
organization,Unknown,5,0
organization,Unknown,7298083,4
organization,Unknown,9,0
organization,Unknown,8698,7
person,Country_271835,Claire Russell,7
organization,Unknown,964,7
organization,Unknown,93873119,4
person,Country_271835,Jeremy Cordova,6
location,Unknown,602ea158-0519-47fc-badc-787721580418,6
location,Unknown,f20779bf-63b5-4ea4-bb5f-944bb9449bce,6
organization,Unknown,349,6
organization,Unknown,84616,6
location,Unknown,ee05a28e-82ba-4f1d-a60f-68797a422ada,2
organization,Unknown,83,2
Uncategorized,Unknown,âunregulatedâ,6
organization,Unknown,2989,4
location,Unknown,df42b319-be6a-4a2e-b11d-c4da7ecfc01c,5
organization,Unknown,185106,5
organization,Unknown,26,6
organization,Unknown,860600018,3
organization,Unknown,435054320,5
vessel,Unknown,Cutter,5
Uncategorized,Unknown,Sept,0
person,Nalakond,John Gonzalez,3
organization,Unknown,9203,6
organization,Unknown,3878194,2
person,Country_271835,Amy Kent,2
Uncategorized,Unknown,Conventionâ,2
vessel,Unknown,water fishing,6
organization,Unknown,760079,6
organization,Unknown,3009706,6
location,Unknown,0f5fd4f9-1683-464e-9459-a4488de5064b,2
organization,Unknown,449308,4
organization,Unknown,200640636,2
person,Country_271835,Debbie Daniel,2
company,Country_628643,png xi  Line,6
organization,Unknown,7361,4
organization,Unknown,5848,2
location,Unknown,d5b94ebc-e03a-438e-872b-a15db349a748,6
person,Country_271835,Ashley Wiggins,6
organization,Unknown,737205,4
person,Country_271835,Clayton Rodgers,6
person,Country_271835,Randy Collins,6
person,Country_271835,Brandon Berger,6
organization,Unknown,4783,6
organization,Unknown,47924922,7
political_organization,Unknown,12845006,7
organization,Unknown,9488645,7
person,Merigrad,Lauren Moore,4
Uncategorized,Unknown,âlocalâ,4
Uncategorized,Unknown,Leominster Provincetownâ,4
location,Unknown,371bf15a-3000-499a-88e4-cc096b028ec7,2
political_organization,Unknown,913428,2
