Community,Node,type,country,neighbor_count,In-Degree,Out-Degree,Avg-Weight,Node_Count,Edge_Count,ownership,partnership,family_relationship,membership,Connected_Node_Type_company,Connected_Node_Type_organization,Connected_Node_Type_Uncategorized,Connected_Node_Type_person,Connected_Node_Type_location,Connected_Node_Type_political_organization,Connected_Node_Type_vessel,Connected_Node_Type_movement,Connected_Node_Type_event,Suspicion rate
0,Spanish Shrimp  Carriers,company,Nalakond,84.0,35,61,0.8728520586458334,84,96,14,19,22,41,6,51,21,7,8,1,1,0,1,4.22%
0,Erin Simmons,person,Oceanus,17.0,4,13,0.8531253547058824,17,17,3,4,2,8,1,5,5,2,3,0,1,0,0,16.83%
0,Sea Breezes GmbH & Co. KG Lighthouse,Uncategorized,Unknown,3.0,2,2,0.875576475,3,4,0,4,0,0,0,0,0,2,2,0,0,0,0,6.17%
0,Charles Fitzgerald,person,Country_271835,5.0,5,1,0.84828364,5,6,1,2,1,2,0,1,2,1,2,0,0,0,0,6.17%
0,39893,organization,Unknown,2.0,2,0,0.82565545,2,2,0,1,0,1,0,0,1,1,0,0,0,0,0,34.33%
0,a325b223-5017-42a8-8eb1-ed7e1a3bbd5b,location,Unknown,2.0,1,1,0.84037715,2,2,1,0,0,1,0,1,0,1,0,0,0,0,0,6.17%
0,HMS,vessel,Unknown,2.0,1,1,0.8326988500000001,2,2,0,0,0,2,0,0,0,2,0,0,0,0,0,6.17%
0,John Campbell,person,Country_271835,2.0,2,0,0.8421831399999999,2,2,0,0,1,1,0,0,0,1,0,0,1,0,0,22.00%
0,7320771,organization,Unknown,3.0,0,3,0.8302166233333333,3,3,3,0,0,0,1,0,2,0,0,0,0,0,0,45.00%
0,Water,vessel,Unknown,2.0,0,2,0.88968763,2,2,1,1,0,0,0,1,1,0,0,0,0,0,0,32.67%
0,2ceda972-c633-4a88-bbe8-a4fe48cb5555,location,Unknown,5.0,0,5,0.8600716539999999,5,5,0,0,5,0,1,2,2,0,0,0,0,0,0,32.67%
0,13592,organization,Unknown,3.0,2,1,0.81919069,3,3,3,0,0,0,0,3,0,0,0,0,0,0,0,18.50%
0,OJSC Ltd. Liability Co,Uncategorized,Unknown,2.0,2,0,0.83579593,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,34.33%
0,3016,organization,Unknown,11.0,0,12,0.863052755,11,12,0,5,1,6,2,7,0,3,0,0,0,0,0,38.83%
0,567,organization,Unknown,7.0,3,5,0.8755636375,7,8,0,7,0,1,0,7,0,1,0,0,0,0,0,23.00%
0,341853,organization,Unknown,7.0,0,8,0.88190690875,7,8,1,5,0,2,1,5,1,1,0,0,0,0,0,38.83%
0,1da2bc5a-e590-41c9-9982-2ade48dfc426,location,Unknown,2.0,1,1,0.857200575,2,2,0,0,0,2,1,1,0,0,0,0,0,0,0,6.17%
0,61057213,organization,Unknown,2.0,0,2,0.86906785,2,2,0,1,1,0,0,1,1,0,0,0,0,0,0,45.00%
0,492238508,organization,Unknown,3.0,2,1,0.8440422133333333,3,3,0,0,0,3,0,2,0,1,0,0,0,0,0,12.33%
0,25125567,organization,Unknown,2.0,0,2,0.865392215,2,2,2,0,0,0,0,0,0,0,2,0,0,0,0,32.67%
0,737137552,organization,Unknown,2.0,2,0,0.91256312,2,2,0,2,0,0,0,1,0,0,0,0,1,0,0,34.33%
0,âSocioeconomic,event,Unknown,3.0,0,3,0.8732589733333334,3,3,0,2,0,1,0,1,0,0,0,0,0,0,2,32.67%
0,60253,organization,Unknown,3.0,0,3,0.9087795333333334,3,3,0,0,0,3,0,0,1,0,0,0,0,0,2,45.00%
0,913428,political_organization,Unknown,3.0,1,2,0.8561329866666667,3,3,0,2,0,1,2,0,0,1,0,0,0,0,0,16.83%
0,Marcus English,person,Oceanus,1.0,1,0,0.898044,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,37.83%
