company_id,BOCnt,CCCnt
Aaron Adams,1,0
Aaron Adkins,1,0
Aaron Allen,1,0
Aaron Alvarez,1,0
Aaron Baker,2,0
Aaron Beasley,1,0
Aaron Berry,1,0
Aaron Black,2,0
Aaron Boyle,1,0
Aaron Byrd,0,1
Aaron Caldwell,0,1
Aaron Campbell,0,1
Aaron Carr,0,1
Aaron Carroll,1,0
Aaron Chapman,1,0
Aaron Clements,1,0
Aaron Contreras,1,0
Aaron Cox,0,2
Aaron Cunningham,1,0
Aaron Davis,1,0
Aaron Dixon,1,0
Aaron Donaldson,1,0
Aaron Elliott,1,0
Aaron Franco,1,0
Aaron Fry,1,0
Aaron Garcia,1,1
Aaron Garrett,1,0
Aaron Gonzalez,1,0
Aaron Hall,1,0
Aaron Hernandez,1,0
Aaron Higgins,1,0
Aaron Horton,1,0
Aaron Hunter,1,0
Aaron Johnson,1,0
Aaron Jones,4,1
Aaron King,1,0
Aaron Lee,0,2
Aaron Lewis,1,0
Aaron Manning,1,0
Aaron Martin,1,1
Aaron Matthews,1,0
Aaron Maxwell,1,0
Aaron Mcdonald,1,0
Aaron Mclaughlin,0,1
Aaron Moore,0,1
Aaron Munoz,1,0
Aaron Oneill,1,0
Aaron Parker,3,0
Aaron Patterson,1,0
Aaron Pearson,0,1
Aaron Pena,0,1
Aaron Pierce,1,0
Aaron Ramos,1,0
Aaron Reilly,2,0
Aaron Rogers,1,0
Aaron Rosales,1,0
Aaron Russell,1,0
Aaron Sanchez,0,1
Aaron Sanford,1,0
Aaron Smith,2,1
Aaron Smith Jr.,0,1
Aaron Sullivan,0,1
Aaron Sutton,1,0
Aaron Thomas,1,0
Aaron Trujillo,0,1
Aaron Turner,1,0
Aaron Waters,1,0
Aaron Watts,1,0
Aaron Weber,0,1
Aaron White,0,1
Aaron Wood,0,1
Aaron Yoder,0,1
Abigail Andrews,0,1
Abigail Banks,1,0
Abigail Bradford,1,0
Abigail Brown,1,0
Abigail Callahan,1,0
Abigail Carlson,0,2
Abigail Collins,1,0
Abigail Cross,1,0
Abigail Fleming,1,0
Abigail Franco,3,0
Abigail James,1,0
Abigail Lloyd,1,0
Abigail Medina,1,0
Abigail Morales,1,0
Abigail Morrow,0,1
Abigail Morton,1,0
Abigail Oconnell,1,0
Abigail Parker,0,1
Abigail Rice,1,0
Abigail Richardson,0,1
Abigail Robertson,0,1
Abigail Robinson,1,2
Abigail Sims,1,0
Abigail Vargas,1,0
Abigail Wheeler,0,1
Abigail Williams,1,0
Adam Alvarado,0,1
Adam Anderson,1,1
Adam Arias,1,0
Adam Ballard,1,0
Adam Barrett,1,0
Adam Beck,1,2
Adam Bennett,1,0
Adam Blanchard II,1,0
Adam Brewer,1,0
Adam Brown,1,0
Adam Bryant,1,0
Adam Buchanan,1,0
Adam Byrd,1,0
Adam Caldwell,1,0
Adam Campbell,1,0
Adam Carpenter,0,1
Adam Chavez,0,1
Adam Cooper,2,0
Adam Cunningham,1,0
Adam Dawson,1,0
Adam Edwards,2,0
Adam Evans,1,0
Adam Flores,1,0
Adam Franklin,1,0
Adam Gillespie,0,1
Adam Graham,0,1
Adam Green,1,1
Adam Greene,2,0
Adam Guerrero,1,0
Adam Haley,0,1
Adam Hall,1,0
Adam Hardin,0,1
Adam Higgins,0,1
Adam Hopkins,1,0
Adam Johnson,5,0
Adam Johnson III,0,1
Adam Jones DVM,0,1
Adam King,1,1
Adam Knox,1,0
Adam Lawrence,0,1
Adam Lee,1,0
Adam Levy,1,0
Adam Logan,1,0
Adam Lynch,0,1
Adam Macdonald,0,1
Adam Maddox,1,0
Adam Marshall,0,1
Adam Martinez,1,1
Adam Mccormick,1,0
Adam Mcdowell,1,0
Adam Meyer,1,0
Adam Morris,1,0
Adam Oliver,1,0
Adam Ortiz,0,1
Adam Pope,0,1
Adam Rodriguez,1,0
Adam Russell,1,0
Adam Ryan,1,0
Adam Serrano,1,0
Adam Simon,1,0
Adam Small,1,0
Adam Smith,3,0
Adam Snyder,1,0
Adam Stevens,0,2
Adam Sullivan,1,0
Adam Thomas,3,0
Adam Thornton,1,0
Adam Vargas,2,0
Adam Vasquez,1,0
Adam Walton,1,0
Adam Wells,0,1
Adam Werner,1,0
Adam White,0,1
Adam Wiley,1,0
Adam Woods,1,0
Adam Wright,1,0
Adrian Becker,1,0
Adrian Bentley,1,0
Adrian Blevins,2,0
Adrian Brown,1,0
Adrian Drake,0,1
Adrian Ferguson,1,0
Adrian Green,1,0
Adrian Kim,1,0
Adrian King,1,0
Adrian Kirby,0,1
Adrian Lucas,1,0
Adrian Newman,1,0
Adrian Ramirez,1,0
Adrian Robertson,1,0
Adrian White,0,1
Adriana Obrien,1,0
Adriana Phillips,1,0
Adriana Pierce,1,0
Adriana White,1,0
Adrienne Adams,1,0
Adrienne Myers,1,0
Adrienne Robertson,1,0
Adrienne Smith,1,0
Adrienne Sutton,1,0
Aimee Castro,0,1
Aimee Dougherty,0,1
Aimee Nelson,0,1
Aimee Rogers,1,0
Alan Adkins,1,0
Alan Alvarez,1,0
Alan Anderson,0,2
Alan Barnett,0,1
Alan Boyd,1,0
Alan Fisher,0,1
Alan Fuentes,0,1
Alan Gordon,0,1
Alan Jones,1,1
Alan Lambert,1,0
Alan Lozano,1,0
Alan Medina,1,0
Alan Morse,0,1
Alan Nash,1,0
Alan Parker,3,0
Alan Patterson,1,0
Alan Perry,0,1
Alan Ponce,1,0
Alan Price,0,1
Alan Ray,1,0
Alan Rose,1,0
Alan Roth,1,0
Alan Silva,1,0
Alan Smith,0,1
Alan Tate,1,0
Alan Thomas,1,0
Alan Walker,1,0
Albert Allen,0,1
Albert Barnes,0,1
Albert Bentley,1,0
Albert Burns,1,0
Albert Collins,1,0
Albert Dillon,1,0
Albert Hart,1,0
Albert Johnson,1,0
Albert Lopez,1,0
Albert Marquez,1,0
Albert Mccormick,1,0
Albert Parker,1,0
Albert Sanchez,1,0
Albert Smith,0,1
Albert Williams,0,1
Alec Gregory,1,0
Alec Jones,1,0
Alec Pugh,1,0
Alejandra Spears,1,0
Alejandra Stephens,1,0
Alejandro Burnett,1,0
Alejandro Dawson,1,0
Alejandro King,0,1
Alex Andrade,1,0
Alex Boyer,1,0
Alex Bradley,2,0
Alex Campbell,1,0
Alex Cantu,0,1
Alex Clark,1,0
Alex Daniels,1,0
Alex Day,1,0
Alex Douglas,1,0
Alex Fleming,1,0
Alex Gaines,1,0
Alex Gomez,0,1
Alex Medina,1,0
Alex Reynolds,1,0
Alex Robles,0,1
Alex Weaver,1,0
Alex Wilcox,1,0
Alex Williams,1,0
Alex Wilson,0,1
Alex Yang,1,0
Alexa Guzman,1,0
Alexa Johnson,1,0
Alexa Luna,1,0
Alexa Martinez,0,1
Alexa Murray,1,0
Alexa Simmons,0,1
Alexander Allen,1,0
Alexander Andrews,1,0
Alexander Benton,0,1
Alexander Bowman,1,0
Alexander Boyle,1,0
Alexander Bradley,0,1
Alexander Butler,1,0
Alexander Callahan,1,0
Alexander Cardenas,0,1
Alexander Clark,1,0
Alexander Contreras,0,1
Alexander Conway,0,1
Alexander Cooper,1,0
Alexander Deleon,0,1
Alexander Eaton,1,0
Alexander Elliott,1,0
Alexander Foley,1,0
Alexander Fox,1,0
Alexander Freeman,1,0
Alexander Garner,1,0
Alexander Gonzalez,1,0
Alexander Graham,0,1
Alexander Greene,1,0
Alexander Hoover,0,2
Alexander Jackson,0,1
Alexander Jarvis,1,0
Alexander Jones,0,2
Alexander King,0,1
Alexander Lloyd,1,0
Alexander Love,0,3
Alexander Martinez,0,1
Alexander Mason,1,0
Alexander Mccormick,1,0
Alexander Morales,1,0
Alexander Morris,0,2
Alexander Murillo,1,0
Alexander Nelson,1,0
Alexander Norton,1,0
Alexander Perez,1,0
Alexander Perry,0,1
Alexander Peterson,0,1
Alexander Petty,0,1
Alexander Phelps,1,0
Alexander Ramsey,1,0
Alexander Reese,2,0
Alexander Richardson,0,1
Alexander Richmond,1,0
Alexander Rios,1,0
Alexander Santos,0,1
Alexander Shaw,1,1
Alexander Smith,0,1
Alexander Snyder,1,0
Alexander Stewart,1,0
Alexander Stout,1,0
Alexander Suarez,0,2
Alexander Turner,1,0
Alexander Valenzuela,1,0
Alexander Wagner,0,1
Alexander Watkins,1,0
Alexander Wheeler,0,1
Alexander White,1,0
Alexander Wilson,1,0
Alexander Wood,0,1
Alexandra Blackwell,1,0
Alexandra Brown,1,0
Alexandra Campbell,1,0
Alexandra Chen,1,0
Alexandra Cole,1,0
Alexandra Collier,1,0
Alexandra Costa,1,0
Alexandra Figueroa,0,1
Alexandra Franco,0,1
Alexandra Guerrero,1,0
Alexandra Hansen,1,0
Alexandra Higgins,1,0
Alexandra Hill,1,0
Alexandra Hoffman,1,0
Alexandra Johnson,2,0
Alexandra Lowe,1,0
Alexandra Mclean,1,0
Alexandra Molina,1,0
Alexandra Neal,1,0
Alexandra Park,1,0
Alexandra Parker DVM,0,2
Alexandra Perez,1,0
Alexandra Russell,1,0
Alexandra Salinas,1,0
Alexandra Singleton,1,0
Alexandra Smith,0,2
Alexandra Stanley,1,0
Alexandra Warner,0,1
Alexandra Wheeler,0,1
Alexandria Braun,1,0
Alexandria Bright,0,1
Alexandria Herman,1,0
Alexandria Jackson,0,1
Alexandria Lyons,0,1
Alexandria Marquez,2,0
Alexandria Martinez,0,1
Alexandria Miller,2,0
Alexandria Smith,2,0
Alexandria Wu,1,0
Alexis Acosta,0,1
Alexis Brown,1,0
Alexis Campbell,0,1
Alexis Chavez,1,0
Alexis Daniel,1,0
Alexis Davis,1,1
Alexis Duncan,1,0
Alexis Evans,0,1
Alexis Gentry,1,0
Alexis Green,1,0
Alexis Haney,1,0
Alexis Harper,1,0
Alexis Hartman,0,1
Alexis Henderson,0,1
Alexis Johnson,1,0
Alexis Knight,1,0
Alexis Lane,0,1
Alexis Mitchell,0,1
Alexis Morris,1,0
Alexis Ortiz,1,0
Alexis Owen,1,0
Alexis Patton,1,0
Alexis Pham,0,1
Alexis Reyes,1,0
Alexis Roberts,0,1
Alexis Ruiz,1,0
Alexis Schultz,1,0
Alexis Snyder,1,0
Alexis Thomas,1,0
Alexis Wallace,1,0
Alexis Williams,0,1
Alfred Allen,1,0
Alfred Fernandez,1,0
Alfred Gonzalez,1,0
Alice Cunningham,0,1
Alice Hahn,0,1
Alice Hughes,1,0
Alice James,0,2
Alice Perez,0,2
Alice Vance,1,0
Alice Wilcox,0,1
Alicia Allen,0,1
Alicia Bond,1,0
Alicia Brown,1,0
Alicia Chapman,0,1
Alicia Church,0,1
Alicia Cooke,0,1
Alicia Escobar,1,0
Alicia Flores,1,0
Alicia Flynn,0,1
Alicia Garcia MD,1,0
Alicia Gomez,1,0
Alicia Gould,0,1
Alicia Hamilton,1,0
Alicia Henderson,1,0
Alicia Hernandez,1,0
Alicia Herrera,0,1
Alicia Hopkins,1,0
Alicia Hull,1,0
Alicia Johnson,2,0
Alicia Jordan,0,1
Alicia Lewis,1,0
Alicia Mack,0,1
Alicia Mcintyre,1,0
Alicia Mendoza,0,1
Alicia Meyer,1,0
Alicia Morgan,1,0
Alicia Nichols,1,0
Alicia Owen,1,0
Alicia Owens,1,0
Alicia Perez,1,0
Alicia Petty,1,0
Alicia Pratt,1,0
Alicia Roberts,1,0
Alicia Robinson,1,0
Alicia Roy,1,0
Alicia Scott,0,1
Alicia Wallace,1,0
Alicia Williams,1,0
Alisha Green,1,0
Alisha Kaiser,1,0
Alisha Scott,1,0
Alison Barrera,1,0
Alison Chen,1,0
Alison Coleman,1,0
Alison Espinoza,1,0
Alison Fernandez,1,0
Alison Flores,1,0
Alison Hamilton,1,0
Alison Hensley,1,0
Alison Hernandez,1,0
Alison Johnson,1,0
Alison Lucas,0,1
Alison Mayo DDS,1,0
Alison Mendoza,1,0
Alison Morales,2,0
Alison Ochoa,1,0
Alison Page,1,0
Alison Ramirez,1,0
Alison Shaffer,0,2
Alison Smith,1,0
Alison Snyder,0,1
Alison Stephens,1,0
Alison West,1,0
Allen Barajas,1,0
Allen French,1,0
Allen Gray,1,0
Allen Griffin,1,0
Allen Harrington,1,0
Allen Hines,1,0
Allen Knight,0,2
Allen Li,1,0
Allen Lopez,1,0
Allen Martin,1,0
Allen Moon,0,1
Allen Mosley,1,0
Allen Myers,1,0
Allen Taylor,2,0
Allen Tucker,1,0
Allen Tyler,1,0
Allen Whitehead,1,0
Allen Wiggins,0,1
Allen Zavala,1,0
Allison Adams,1,0
Allison Alexander,0,1
Allison Baker,1,0
Allison Baldwin,1,0
Allison Brooks,1,0
Allison Bush,1,0
Allison Cain,1,0
Allison Carter,2,0
Allison Coleman,1,0
Allison Daniels,1,0
Allison David,1,0
Allison Drake,1,0
Allison Golden,0,1
Allison Gonzalez,0,1
Allison Graves DDS,1,0
Allison Harper,0,1
Allison Hawkins,0,1
Allison Hernandez,1,0
Allison Hill,1,0
Allison Kennedy,2,0
Allison Kerr,1,0
Allison King,1,0
Allison Lawrence,0,1
Allison Leach,1,0
Allison Lee,1,0
Allison Lester,0,1
Allison Lloyd,0,1
Allison Mcconnell,1,0
Allison Mccoy,1,0
Allison Mcdonald,0,1
Allison Morris,1,0
Allison Nguyen,1,0
Allison Olsen,0,1
Allison Ortiz,0,1
Allison Peterson,1,0
Allison Riley,2,0
Allison Rodriguez,1,0
Allison Ruiz,1,0
Allison Sampson,2,0
Allison Sanders,0,1
Allison Snow,1,0
Allison Snyder,0,1
Allison Thomas,1,0
Allison Webb,0,1
Allison Williamson,1,0
Allison Wilson,1,0
Allison Wood,0,1
Allison Wyatt,0,1
Alvin Gallegos,0,1
Alvin Mercado,1,0
Alvin Olson,1,0
Alyssa Baldwin,1,0
Alyssa Boyd,1,0
Alyssa Brown,0,1
Alyssa Cain,0,1
Alyssa Campbell,0,1
Alyssa Carter,1,0
Alyssa Christian,1,0
Alyssa Collins,1,0
Alyssa Davis,1,0
Alyssa Diaz,1,0
Alyssa Downs,1,0
Alyssa Evans,1,0
Alyssa Galvan,1,0
Alyssa Gardner,0,1
Alyssa Gutierrez,0,1
Alyssa Hanna,1,0
Alyssa Harper,1,0
Alyssa Jacobs,0,1
Alyssa James,0,1
Alyssa Jenkins,1,0
Alyssa Kelly,0,1
Alyssa Kline,1,0
Alyssa Lopez,0,1
Alyssa Meadows,1,0
Alyssa Miller,1,0
Alyssa Murphy,1,0
Alyssa Murray,0,1
Alyssa Nguyen,1,0
Alyssa Nichols,1,0
