name,tot_company,tot_revenue
Christopher Watson,1,18529.114
Angela Mendoza,1,0
Debbie Sanders,1,0
Christina Taylor,3,1196.594729
Yesenia Oliver,1,7786.6728
Angela Smith,3,0
Catherine Cox,1,0
Daniel Reese,4,6756.6728
Anthony Harris,6,19823.33159
Sergio Jenkins,4,0
Monica Martinez,1,0
Amanda Mcdonald,1,0
Teresa Collins,1,0
Megan Padilla,1,0
Tina Mcintyre,2,0
Jennifer Kelly,2,0
Jessica Riley,1,12566.6728
Diana Fields,1,0
Robert Silva,1,26866.6728
Elizabeth Jones,2,113918.0074
Kelly Jarvis,1,4456.5631
Benjamin Herman,1,4456.5631
April Garcia,1,0
Samantha Green,1,26966.6728
Roy Moore,1,8289.9465
Terry Olson,1,8289.9465
Julie Bonilla,1,8289.9465
Timothy Hubbard,1,8289.9465
Craig Franco,1,0
Todd Lowe,1,6679.45925
Natalie Hobbs,1,6679.45925
Michael Ramirez,2,0
Nathaniel Johnson,3,5226.6728
Patricia Beasley,1,19125.969
Elizabeth Torres,2,66840.46605
Brittany Jones,5,108486.1509
Sandra Roberts,3,8464.11095
Robert Miranda,2,53566.6728
Michael Pineda,1,0
Jesus Brown,1,0
William Curtis,2,51937.12705
Katrina Ramsey,1,0
Sarah Wiggins,1,0
Monique Cummings,2,18866.6728
Krystal Arnold,1,5372.4219
Christopher Kerr,2,0
Ruth Young,1,4052.921225
Marcus Camacho,1,4052.921225
Margaret Guerrero,1,4052.921225
Elijah Stone,1,4052.921225
Sarah Williams,4,704.6308
Cassidy Sherman,1,1788.0861
Michael Morrison,2,21350.9057
Dawn West,1,1788.0861
Nicole Carrillo,1,1788.0861
Hannah Franco,1,0
Brandy Fischer,1,0
Brooke Lewis,2,0
Tina Armstrong,1,10936.6728
Alexander Hoover,2,23766.6728
Anthony Munoz,3,0
Melissa Sparks,1,0
Lynn Graham,1,0
Christina Barrera,1,7985.6174
Sandra Wilson,2,963.7683826
Joshua Castillo,2,963.7683826
Susan Watson,1,963.7683826
Lisa Snow,1,963.7683826
Charles Silva,1,963.7683826
Peter Fuller,2,963.7683826
Amanda Robinson,2,963.7683826
Brandon Cruz,2,4872.891368
Kristine Simmons,1,963.7683826
Mr. Joshua Green,1,963.7683826
Lynn Sanders,1,963.7683826
Jessica Coffey,1,963.7683826
Richard Fisher,1,963.7683826
Allison Baldwin,1,963.7683826
Mark Pham,1,963.7683826
Meagan Lopez,1,963.7683826
Jennifer Garcia,1,963.7683826
Daniel Haynes,1,963.7683826
Charles Hall,1,963.7683826
Jennifer White,2,963.7683826
Aaron Contreras,1,963.7683826
Andrew Taylor,3,20653.285
Destiny Hernandez,1,963.7683826
Diana Warner,1,0
Patricia Vasquez,1,36658.0122
Kimberly Meyer,1,7653.7029
Julia Beasley,1,7653.7029
Kurt Davila,1,0
Ian Benton,1,44779.75025
Michael Thompson,3,47952.83482
Spencer Castaneda,1,0
Melissa Martin,2,7143.3364
Gary Johnson,2,86313.91166
Tracey Love,1,0
Sylvia Grant,1,4337.14495
Matthew Young,5,24955.59541
Diane Williams,2,0
Barbara Watts,1,0
Terri Crawford,1,0
Christopher Ramos,2,0
Steven Oconnell,1,0
Ronald Beasley,1,0
Rachel Carlson,1,0
Ashley Gray,1,0
Richard Smith,8,3365.723797
John Alexander,1,0
Kevin Gray,1,0
Victor Cabrera,1,0
Cathy Martinez,1,0
Bryan Santiago,1,4906.0501
Kenneth Anderson,2,26066.6728
Andre Thomas,1,0
Audrey Smith,1,0
Carrie Hernandez,1,0
Travis Harris,1,0
Gary Aguilar,1,4810.3628
Howard Coleman,1,4216.3239
Nicole Jackson,1,4216.3239
George Mcdonald,1,0
Patricia Scott,2,36766.6728
Darren Robertson,1,1387.861938
Lisa Horn,1,1387.861938
Kathryn Hughes,2,4245.156211
Paula Hart,1,1387.861938
Mr. Nathan Campbell,1,1387.861938
John Hernandez,3,1387.861938
Mary Brown,3,1387.861938
Jennifer Green,1,1387.861938
Robert Strong,1,1387.861938
Brandon Williams,1,1387.861938
Andrew Reed,2,1387.861938
Alice Vance,1,1387.861938
Jennifer Williams,4,1387.861938
Becky Weaver,1,1387.861938
Emily Knox,1,1387.861938
Anthony Wood,1,1387.861938
Julia Good,1,1387.861938
Jennifer Salazar,1,1387.861938
Justin Hale,1,1387.861938
Kara Higgins,2,1387.861938
Sheri Dudley,1,1387.861938
Diana Good,1,1387.861938
Emily Tyler,1,1387.861938
Teresa Bryan,1,1387.861938
Jason Cabrera,1,0
Joseph Johnson,5,2808.3364
Audrey Cervantes,1,0
John Smith,12,451888.5335
Rachel Owens,1,0
Travis Gonzales,1,0
Brian Brady,1,0
Kenneth Morales,1,0
Julie Reed,1,0
Daniel Watkins,1,0
Lisa Fuentes,1,0
Lisa Martinez,1,0
Steven West,1,0
William Malone,1,0
Jennifer Fowler,2,0
Christopher Roach,1,0
Jeffrey Espinoza,1,0
Victor Ferguson,2,14533.3364
Kevin Rodriguez,1,0
Jenna Jimenez,1,0
Jenny Mccormick,1,0
Michelle Rodriguez,5,6293.756
Jessica Peters,1,0
Sherri Rivera,1,0
John Barker,2,1887.613903
Tammy Hall,1,0
Catherine Short,1,0
Terry Stanton,1,0
Dennis Miles,1,0
Tyler Washington,1,0
Ethan Roberts,1,0
Barbara Carey,2,1062175.439
Vincent Pena,1,0
Crystal Martinez,2,462.2040444
Billy Martinez,1,14181.4208
Jane Dixon,1,17566.6728
Rebecca Perkins,1,0
Jonathan Oconnor,1,11277.1793
Ryan Perez,3,0
Joshua Jackson,1,0
Ashley Dalton,1,0
Taylor Martin,2,192562.167
Robert Baker,2,0
Jennifer Oliver,2,0
Gabriel Ward,2,0
Andrea Ortega,2,0
Ronald Hicks,2,0
Geoffrey Sanders,1,20066.6728
Richard Reese,1,1773.888
Dr. Karen Walker,1,1773.888
Stephen Jackson,2,2024.758095
David Jones,8,34183.18493
Christopher Randall,1,1773.888
Derek Marshall,1,0
Dr. Steven Fox,2,12946.6728
Christopher Solis,1,54603.9287
Angelica Davis,1,0
Madison Olson,1,0
Brian Martinez,4,27033.21803
Brian Arnold,1,18566.54523
Bonnie Jimenez,1,18566.54523
Jacob Parsons,1,18566.54523
Daniel Nguyen,1,0
Mary Khan,1,113379.1323
Mrs. Nicole Nichols,1,1028.243963
Michael Quinn,1,1028.243963
Dustin Gentry,1,1028.243963
Dawn Tanner,1,1028.243963
Jennifer Small,1,1028.243963
Ashley Campbell,1,1028.243963
Eric Padilla,1,1028.243963
Julie Lynn,1,1028.243963
Theresa Spencer,1,1028.243963
Tracy Ramsey,1,1028.243963
Michael Sanders,1,1028.243963
Veronica Esparza,1,1028.243963
Lisa Long,1,1028.243963
Brent Olsen,1,1028.243963
Sylvia Smith,1,1028.243963
Sandra Morgan,1,1028.243963
Anthony Evans,1,0
Leslie Adams,1,0
Natalie Johnson,2,24066.6728
Cody Johnson,1,4588.890933
Sergio Ray,1,4588.890933
Angela Osborne,1,0
Angelica Wheeler,3,4588.890933
Shelly Strong,3,0
Christopher White,5,33131.05051
Travis Drake,1,0
Jason Sellers,1,0
Matthew Mora,3,45124.01809
Tina Wilson,2,30407.3593
Vernon Cox,2,30407.3593
Ryan Stanley,2,0
Brittany Rojas,1,221337.9812
Jill Bennett,2,0
Thomas Burton,1,14466.6728
Andrew Sullivan,1,10254.1095
Jason Hill,3,0
Jason Watson,1,7973.9168
Dean Dodson,1,745.5813636
Matthew Bennett,2,745.5813636
Jack Bailey,1,745.5813636
Tracy Harris,2,745.5813636
Richard Freeman,1,745.5813636
Pamela Marquez,1,745.5813636
Alexandra Johnson,2,745.5813636
Phillip Smith,1,0
Joseph Grant,1,745.5813636
Jacob Hunter,1,745.5813636
Mario Scott,2,3409.918639
Kimberly Calhoun,1,745.5813636
Elizabeth Thompson,1,0
Kevin Davis,1,6806.18408
Russell Mendez,1,6806.18408
Carla Moore,1,6806.18408
Cynthia Parker,1,6806.18408
Thomas Stephens,1,6806.18408
Dr. Jeremy Taylor,1,6806.18408
Kristen Smith,4,8778.888026
Hayley Phillips,1,6806.18408
Jamie Buchanan,1,6806.18408
Theresa Marquez,1,6806.18408
Parker Lawson,1,6806.18408
Timothy Palmer,1,6806.18408
Jennifer Miller,4,6806.18408
Melinda Cook,1,6806.18408
Patricia Rogers,1,6806.18408
Amanda Glenn,1,0
Erica Wells,1,170666.6728
Kristine Brown,1,0
Vanessa Jones,1,55045.4068
Deborah Phillips,1,3857.1759
Steven Montes,1,3857.1759
Virginia Cuevas,1,3857.1759
Jenna Mendoza,1,3857.1759
Kristine Berg,1,3857.1759
Marcus Allen,1,3857.1759
Austin Rodriguez,2,4556.213858
Amy Burns,1,3857.1759
James Wright,2,3857.1759
Monique Griffin,1,3857.1759
Gregory Porter,1,3857.1759
Sean Davies,1,3857.1759
Christopher Gentry,1,3857.1759
Dr. Joseph Gomez DVM,1,3857.1759
Joseph Kennedy,2,3857.1759
Nathan Pitts,1,3857.1759
Keith Martin,1,3857.1759
Brandi Proctor,1,3857.1759
Jennifer Lopez,5,32845.97522
Joshua Chan,1,3857.1759
Mary Jackson,3,18213.8487
Abigail Cross,1,3857.1759
Jamie Schultz,1,0
Robin Park,1,0
Nicolas Hill,1,0
Charles Cabrera DVM,1,0
Bradley Chaney,1,0
Timothy Webster,1,0
Darren Callahan,1,0
Erica Coleman,1,0
Kyle Zhang,1,0
Nicole Dixon,1,0
Rebecca Mullins,1,0
Casey Gentry,1,0
Kevin Martinez,3,0
Erin Brown,1,0
Robin Harvey,1,0
Brian Robinson,3,0
Samantha Swanson,1,0
Travis Edwards,1,0
Rita Silva,1,0
David Ramirez,3,0
Carolyn Sexton,1,0
Patricia Baxter,1,0
David Miranda,1,0
Amy Campbell,1,0
Elizabeth Elliott,2,2657.6623
Jason George,1,2657.6623
Jessica Bradley,1,0
Michael Salazar,2,325666.6728
Rachel Peterson,1,3253.624233
Michael Taylor,5,57704.99366
Yolanda Hill,1,3253.624233
Aaron Lee,2,0
Debra Hurst,2,9082.662525
Allen Knight,2,0
Eileen Norris,1,0
Andrea Moody,1,0
Darren Mccann,1,0
Diana Elliott,1,0
Thomas Thomas,3,66266.6728
Terry Gentry,1,0
Ronald Pham,1,0
Julia Hayes,2,0
Ashlee Thomas,1,0
Shelly Lucero,1,0
Jonathan Peterson,1,0
Alejandra Spears,1,0
Kimberly Farrell,2,0
Jason Sanders,1,0
Evelyn Campbell,1,0
William Mckenzie,1,0
Bryan Fitzgerald,1,0
Steven Short,1,0
Thomas Gilmore,1,0
Edwin George,1,0
Michael Barnes,1,0
Christopher Arias,1,0
Catherine Wu,1,0
Cameron Campbell,1,0
Kerry Smith,2,0
Brett David,1,0
Regina Peterson,1,0
Elizabeth Barrett,1,0
Yesenia Stout,1,0
Scott Sharp,1,0
Michael Morgan,3,0
Joshua Ashley Jr.,1,0
Daniel Hodge,1,0
Robert Parker,1,0
Jeffrey Arnold,1,0
Tina Vega,2,1628.1613
Kelly Allen,1,0
Jose Sellers,1,0
Amy Smith,1,0
Paul Hill,1,0
Ryan Anderson,2,0
Olivia Huang,1,0
Gabrielle Harrison,1,0
Richard Diaz,1,0
Emily Barker,1,0
Ann Williams,1,0
Tina Stephens,1,0
Thomas Lambert,2,0
Benjamin Barnes,1,0
Jason Martinez,1,0
Taylor Baker,1,0
Paul Parks,1,0
Paul Gomez,1,0
Molly Garcia,1,0
Marie Stewart,1,0
Steven Johnson,5,7651.3287
Caleb Dixon,1,0
Daniel Jackson,1,0
Terry Klein,1,0
Kenneth Gardner,1,0
Kathy Mckinney,1,0
Destiny Rojas,1,0
Christopher Estrada,1,0
David Harrison,2,0
Jennifer Ramsey,1,0
Jesse Jackson,1,0
Lisa Mason,1,0
Thomas Short,1,0
Zachary Flores,1,0
James Ferguson,1,0
Robert Miller,7,133369.9074
Alexis Owen,1,0
Kimberly Robbins MD,1,0
Steven Cook,1,0
Michael Carter,6,4356.74343
Dr. Lisa Castillo,1,0
Nicole Johnson,4,4418.679817
Jessica Howell,1,0
Dominic Stanton,1,0
Jennifer Diaz,1,0
Michael Miller,5,156952.301
Samantha Rogers,1,0
Steven Sutton,2,0
Lisa Williams,3,0
Brittney Gonzales,1,0
Melanie Fox,2,14716.65879
Brandi Cox,1,0
Pedro Mcclure,1,0
Christina Ortiz,1,2834.9508
Rachel Washington,1,2834.9508
Melissa Molina,1,0
Erin Houston,1,0
Cindy Kerr,1,1579.104733
Seth Blankenship,1,1579.104733
Jessica Williams,3,38777.72023
Melissa Wood,1,0
Gregory Orozco,1,118666.6728
Ricky Thomas,1,8751.35554
Darryl Lewis,2,8751.35554
April Anderson,2,9145.147681
Aaron Oneill,1,8751.35554
Daniel Gray,1,8751.35554
Jeffrey Goodwin,1,0
Ronald Johnson,1,13536.6728
Mr. Edward Butler,2,0
Paul Garcia,1,2333.3364
Rebecca Hansen,1,2333.3364
Justin Harris,1,0
Elizabeth Middleton,1,43366.6728
Jennifer Morales,4,34153.41624
Patricia Webb MD,1,319333.3364
Bailey Gonzalez,1,319333.3364
Gabrielle Dunn,1,0
Xavier Sloan,1,0
Juan Harris,1,0
Brandon Morgan,1,4323.7535
Andrew Elliott,1,4323.7535
Andrew Morris,1,0
Laura Vazquez,1,4736.6728
Carmen Sharp,1,10106.6728
Tracy Marshall,2,64366.6728
Corey Murray,1,5066.6728
Mark Williams,3,5168.8373
Angela Webster,1,5188.81505
