source,target,type,BOCnt,CCCnt,tot_revenue,avg_revenue
1 and Sagl Forwading,Christopher Watson,Beneficial Owner,1,1,18529.114,18529.114
1 and Sagl Forwading,Angela Mendoza,Company Contacts,1,1,18529.114,0
1 AS Marine sanctuary,Debbie Sanders,Beneficial Owner,1,1,0,0
1 AS Marine sanctuary,Christina Taylor,Company Contacts,1,1,0,0
1 Ltd. Liability Co,Yesenia Oliver,Company Contacts,0,1,7786.6728,7786.6728
1 Ltd. Liability Co Cargo,Angela Smith,Beneficial Owner,1,0,0,0
1 S.A. de C.V.,Catherine Cox,Company Contacts,0,1,0,0
1 Swordfish Ltd Solutions,Daniel Reese,Company Contacts,0,1,6756.6728,6756.6728
2 Incorporated and Son's,Anthony Harris,Beneficial Owner,1,1,0,0
2 Incorporated and Son's,Sergio Jenkins,Company Contacts,1,1,0,0
2 Limited Liability Company,Monica Martinez,Company Contacts,2,2,0,0
2 Limited Liability Company,Amanda Mcdonald,Beneficial Owner,2,2,0,0
2 Limited Liability Company,Teresa Collins,Beneficial Owner,2,2,0,0
2 Limited Liability Company,Megan Padilla,Company Contacts,2,2,0,0
2 Ltd. Liability Co,Tina Mcintyre,Beneficial Owner,1,1,0,0
2 Ltd. Liability Co,Jennifer Kelly,Company Contacts,1,1,0,0
2 S.A. de C.V.,Jessica Riley,Company Contacts,0,1,12566.6728,12566.6728
3 Coast Sp Marine,Diana Fields,Company Contacts,0,1,0,0
3 Limited Liability Company,Robert Silva,Company Contacts,0,1,26866.6728,26866.6728
3 Ltd. Liability Co Transit,Elizabeth Jones,Company Contacts,0,1,112666.6728,112666.6728
3 S.p.A. and Son's,Kelly Jarvis,Beneficial Owner,2,1,8913.1262,4456.5631
3 S.p.A. and Son's,Benjamin Herman,Beneficial Owner,2,1,8913.1262,4456.5631
3 S.p.A. and Son's,April Garcia,Company Contacts,2,1,8913.1262,0
3 SE & Son's,Samantha Green,Company Contacts,0,1,26966.6728,26966.6728
4 Limited Liability Company Seaport,Roy Moore,Beneficial Owner,4,1,33159.786,8289.9465
4 Limited Liability Company Seaport,Terry Olson,Beneficial Owner,4,1,33159.786,8289.9465
4 Limited Liability Company Seaport,Julie Bonilla,Beneficial Owner,4,1,33159.786,8289.9465
4 Limited Liability Company Seaport,Timothy Hubbard,Beneficial Owner,4,1,33159.786,8289.9465
4 Limited Liability Company Seaport,Craig Franco,Company Contacts,4,1,33159.786,0
4 N.V. Marine biology,Todd Lowe,Beneficial Owner,2,1,13358.9185,6679.45925
4 N.V. Marine biology,Natalie Hobbs,Beneficial Owner,2,1,13358.9185,6679.45925
4 N.V. Marine biology,Michael Ramirez,Company Contacts,2,1,13358.9185,0
4 S.A. de C.V.,Nathaniel Johnson,Company Contacts,0,1,0,0
5 Flounder S.p.A. Transport,Patricia Beasley,Company Contacts,0,1,19125.969,19125.969
5 Limited Liability Company,Elizabeth Torres,Beneficial Owner,2,1,133680.9321,66840.46605
5 Limited Liability Company,Brittany Jones,Beneficial Owner,2,1,133680.9321,66840.46605
5 Limited Liability Company,Sandra Roberts,Company Contacts,2,1,133680.9321,0
5 Oyj Marine life,Robert Miranda,Company Contacts,0,1,53566.6728,53566.6728
6 Barge Oyj Cargo,Michael Pineda,Beneficial Owner,4,1,0,0
6 Barge Oyj Cargo,Jesus Brown,Beneficial Owner,4,1,0,0
6 Barge Oyj Cargo,William Curtis,Beneficial Owner,4,1,0,0
6 Barge Oyj Cargo,Katrina Ramsey,Beneficial Owner,4,1,0,0
6 Barge Oyj Cargo,Sarah Wiggins,Company Contacts,4,1,0,0
6 GmbH & Co. KG,Monique Cummings,Company Contacts,0,1,18866.6728,18866.6728
6 LC & Son's,Krystal Arnold,Beneficial Owner,1,1,5372.4219,5372.4219
6 LC & Son's,Christopher Kerr,Company Contacts,1,1,5372.4219,0
7 GmbH & Co. KG,Ruth Young,Beneficial Owner,4,1,16211.6849,4052.921225
7 GmbH & Co. KG,Marcus Camacho,Beneficial Owner,4,1,16211.6849,4052.921225
7 GmbH & Co. KG,Margaret Guerrero,Beneficial Owner,4,1,16211.6849,4052.921225
7 GmbH & Co. KG,Elijah Stone,Beneficial Owner,4,1,16211.6849,4052.921225
7 GmbH & Co. KG,Sarah Williams,Company Contacts,4,1,16211.6849,0
7 Ltd. Liability Co Express,Cassidy Sherman,Beneficial Owner,4,1,7152.3444,1788.0861
7 Ltd. Liability Co Express,Michael Morrison,Beneficial Owner,4,1,7152.3444,1788.0861
7 Ltd. Liability Co Express,Dawn West,Beneficial Owner,4,1,7152.3444,1788.0861
7 Ltd. Liability Co Express,Nicole Carrillo,Beneficial Owner,4,1,7152.3444,1788.0861
7 Ltd. Liability Co Express,Hannah Franco,Company Contacts,4,1,7152.3444,0
7 Ltd. Liability Co Shipping,Brandy Fischer,Company Contacts,0,1,0,0
7 S.A. de C.V. Shipping,Brooke Lewis,Company Contacts,0,1,0,0
8 GmbH & Co. KG Tsunami,Tina Armstrong,Company Contacts,0,1,10936.6728,10936.6728
8 GmbH & Co. KG Worldwide,Alexander Hoover,Company Contacts,0,1,0,0
8 Ltd. Liability Co,Anthony Munoz,Beneficial Owner,2,1,0,0
8 Ltd. Liability Co,Melissa Sparks,Beneficial Owner,2,1,0,0
8 Ltd. Liability Co,Lynn Graham,Company Contacts,2,1,0,0
8 S.A. de C.V.,Christina Barrera,Company Contacts,0,1,7985.6174,7985.6174
8 SE Marine life,Sandra Wilson,Beneficial Owner,23,1,22166.6728,963.7683826
8 SE Marine life,Joshua Castillo,Beneficial Owner,23,1,22166.6728,963.7683826
8 SE Marine life,Susan Watson,Beneficial Owner,23,1,22166.6728,963.7683826
8 SE Marine life,Lisa Snow,Beneficial Owner,23,1,22166.6728,963.7683826
8 SE Marine life,Charles Silva,Beneficial Owner,23,1,22166.6728,963.7683826
8 SE Marine life,Peter Fuller,Beneficial Owner,23,1,22166.6728,963.7683826
8 SE Marine life,Amanda Robinson,Beneficial Owner,23,1,22166.6728,963.7683826
8 SE Marine life,Brandon Cruz,Beneficial Owner,23,1,22166.6728,963.7683826
8 SE Marine life,Kristine Simmons,Beneficial Owner,23,1,22166.6728,963.7683826
8 SE Marine life,Mr. Joshua Green,Beneficial Owner,23,1,22166.6728,963.7683826
8 SE Marine life,Lynn Sanders,Beneficial Owner,23,1,22166.6728,963.7683826
8 SE Marine life,Jessica Coffey,Beneficial Owner,23,1,22166.6728,963.7683826
8 SE Marine life,Richard Fisher,Beneficial Owner,23,1,22166.6728,963.7683826
8 SE Marine life,Allison Baldwin,Beneficial Owner,23,1,22166.6728,963.7683826
8 SE Marine life,Mark Pham,Beneficial Owner,23,1,22166.6728,963.7683826
8 SE Marine life,Meagan Lopez,Beneficial Owner,23,1,22166.6728,963.7683826
8 SE Marine life,Jennifer Garcia,Beneficial Owner,23,1,22166.6728,963.7683826
8 SE Marine life,Daniel Haynes,Beneficial Owner,23,1,22166.6728,963.7683826
8 SE Marine life,Charles Hall,Beneficial Owner,23,1,22166.6728,963.7683826
8 SE Marine life,Jennifer White,Beneficial Owner,23,1,22166.6728,963.7683826
8 SE Marine life,Aaron Contreras,Beneficial Owner,23,1,22166.6728,963.7683826
8 SE Marine life,Andrew Taylor,Beneficial Owner,23,1,22166.6728,963.7683826
8 SE Marine life,Destiny Hernandez,Beneficial Owner,23,1,22166.6728,963.7683826
8 SE Marine life,Diana Warner,Company Contacts,23,1,22166.6728,0
9 Charter Boat  Plc Overseas,Patricia Vasquez,Company Contacts,0,1,36658.0122,36658.0122
9 GmbH & Co. KG Solutions,Kimberly Meyer,Beneficial Owner,2,1,15307.4058,7653.7029
9 GmbH & Co. KG Solutions,Julia Beasley,Beneficial Owner,2,1,15307.4058,7653.7029
9 GmbH & Co. KG Solutions,Kurt Davila,Company Contacts,2,1,15307.4058,0
9 Shark S.A. de C.V. Brothers,Ian Benton,Beneficial Owner,2,1,89559.5005,44779.75025
9 Shark S.A. de C.V. Brothers,Michael Thompson,Beneficial Owner,2,1,89559.5005,44779.75025
9 Shark S.A. de C.V. Brothers,Spencer Castaneda,Company Contacts,2,1,89559.5005,0
9 Swordfish Ltd Carriers,Melissa Martin,Beneficial Owner,2,1,0,0
9 Swordfish Ltd Carriers,Gary Johnson,Beneficial Owner,2,1,0,0
9 Swordfish Ltd Carriers,Tracey Love,Company Contacts,2,1,0,0
AB Limited Liability Company,Sylvia Grant,Beneficial Owner,2,1,8674.2899,4337.14495
AB Limited Liability Company,Matthew Young,Beneficial Owner,2,1,8674.2899,4337.14495
AB Limited Liability Company,Diane Williams,Company Contacts,2,1,8674.2899,0
"Abbott, Carrillo and Frederick",Barbara Watts,Beneficial Owner,1,0,0,0
"Abbott, Lewis and Davis",Terri Crawford,Beneficial Owner,1,0,0,0
Abbott-Norman,Christopher Ramos,Beneficial Owner,1,0,0,0
Abbott-Page,Steven Oconnell,Company Contacts,0,1,0,0
Acevedo Group,Ronald Beasley,Company Contacts,0,2,0,0
Acevedo Group,Rachel Carlson,Company Contacts,0,2,0,0
Acevedo Ltd,Ashley Gray,Beneficial Owner,1,0,0,0
"Acevedo, Dickson and Gonzalez",Richard Smith,Beneficial Owner,1,0,0,0
"Acevedo, Fowler and Duncan",John Alexander,Beneficial Owner,1,0,0,0
Acevedo-Griffin,Kevin Gray,Beneficial Owner,1,0,0,0
Acevedo-Sanchez,Victor Cabrera,Company Contacts,0,1,0,0
Acosta LLC,Cathy Martinez,Company Contacts,0,1,0,0
Acosta Ltd,Bryan Santiago,Beneficial Owner,1,0,4906.0501,4906.0501
"Acosta, Gibson and Jones",Kenneth Anderson,Beneficial Owner,1,0,0,0
"Acosta, Johnson and Ball",Andre Thomas,Beneficial Owner,1,0,0,0
"Acosta, Sanchez and Klein",Audrey Smith,Beneficial Owner,1,0,0,0
Acosta-Glass,Carrie Hernandez,Company Contacts,0,1,0,0
Acosta-Saunders,Travis Harris,Beneficial Owner,1,0,0,0
Adair - SE Transport,Gary Aguilar,Company Contacts,0,1,4810.3628,4810.3628
Adair Corporation Marine biology,Howard Coleman,Beneficial Owner,2,1,8432.6478,4216.3239
Adair Corporation Marine biology,Nicole Jackson,Beneficial Owner,2,1,8432.6478,4216.3239
Adair Corporation Marine biology,George Mcdonald,Company Contacts,2,1,8432.6478,0
Adair Ltd. Liability Co,Patricia Scott,Company Contacts,0,1,36766.6728,36766.6728
Adair S.A. de C.V.,Darren Robertson,Beneficial Owner,24,1,33308.6865,1387.861938
Adair S.A. de C.V.,Lisa Horn,Beneficial Owner,24,1,33308.6865,1387.861938
Adair S.A. de C.V.,Kathryn Hughes,Beneficial Owner,24,1,33308.6865,1387.861938
Adair S.A. de C.V.,Paula Hart,Beneficial Owner,24,1,33308.6865,1387.861938
Adair S.A. de C.V.,Mr. Nathan Campbell,Beneficial Owner,24,1,33308.6865,1387.861938
Adair S.A. de C.V.,John Hernandez,Beneficial Owner,24,1,33308.6865,1387.861938
Adair S.A. de C.V.,Mary Brown,Beneficial Owner,24,1,33308.6865,1387.861938
Adair S.A. de C.V.,Jennifer Green,Beneficial Owner,24,1,33308.6865,1387.861938
Adair S.A. de C.V.,Robert Strong,Beneficial Owner,24,1,33308.6865,1387.861938
Adair S.A. de C.V.,Brandon Williams,Beneficial Owner,24,1,33308.6865,1387.861938
Adair S.A. de C.V.,Andrew Reed,Beneficial Owner,24,1,33308.6865,1387.861938
Adair S.A. de C.V.,Alice Vance,Beneficial Owner,24,1,33308.6865,1387.861938
Adair S.A. de C.V.,Jennifer Williams,Beneficial Owner,24,1,33308.6865,1387.861938
Adair S.A. de C.V.,Becky Weaver,Beneficial Owner,24,1,33308.6865,1387.861938
Adair S.A. de C.V.,Emily Knox,Beneficial Owner,24,1,33308.6865,1387.861938
Adair S.A. de C.V.,Anthony Wood,Beneficial Owner,24,1,33308.6865,1387.861938
Adair S.A. de C.V.,Julia Good,Beneficial Owner,24,1,33308.6865,1387.861938
Adair S.A. de C.V.,Jennifer Salazar,Beneficial Owner,24,1,33308.6865,1387.861938
Adair S.A. de C.V.,Justin Hale,Beneficial Owner,24,1,33308.6865,1387.861938
Adair S.A. de C.V.,Kara Higgins,Beneficial Owner,24,1,33308.6865,1387.861938
Adair S.A. de C.V.,Sheri Dudley,Beneficial Owner,24,1,33308.6865,1387.861938
Adair S.A. de C.V.,Diana Good,Beneficial Owner,24,1,33308.6865,1387.861938
Adair S.A. de C.V.,Emily Tyler,Beneficial Owner,24,1,33308.6865,1387.861938
Adair S.A. de C.V.,Teresa Bryan,Beneficial Owner,24,1,33308.6865,1387.861938
Adair S.A. de C.V.,Jason Cabrera,Company Contacts,24,1,33308.6865,0
Adams and Sons,Joseph Johnson,Beneficial Owner,1,1,0,0
Adams and Sons,Audrey Cervantes,Company Contacts,1,1,0,0
Adams Group,John Smith,Beneficial Owner,1,0,0,0
Adams LLC,Rachel Owens,Company Contacts,0,2,0,0
Adams LLC,Travis Gonzales,Company Contacts,0,2,0,0
Adams Ltd,Brian Brady,Company Contacts,0,1,0,0
Adams PLC,Kenneth Morales,Beneficial Owner,1,0,0,0
"Adams, Brown and Brown",Julie Reed,Beneficial Owner,1,0,0,0
"Adams, Clark and Martinez",Daniel Watkins,Beneficial Owner,1,0,0,0
"Adams, Johnson and Calderon",Lisa Fuentes,Beneficial Owner,1,0,0,0
"Adams, Mccall and Smith",Lisa Martinez,Beneficial Owner,1,0,0,0
"Adams, Munoz and Carson",Steven West,Beneficial Owner,1,0,0,0
"Adams, Nunez and Bauer",Diane Williams,Company Contacts,0,1,0,0
"Adams, Ramos and Patel",William Malone,Beneficial Owner,1,0,0,0
"Adams, Suarez and Bailey",Jennifer Fowler,Beneficial Owner,1,0,0,0
"Adams, Taylor and Brown",Christopher Roach,Beneficial Owner,1,0,0,0
Adams-Decker,Jeffrey Espinoza,Company Contacts,0,1,0,0
Adams-Duran,Victor Ferguson,Beneficial Owner,1,0,0,0
Adams-Gilmore,Kevin Rodriguez,Beneficial Owner,1,0,0,0
Adams-Howell,Jenna Jimenez,Beneficial Owner,1,0,0,0
Adams-Knight,Jenny Mccormick,Beneficial Owner,1,0,0,0
Adams-Pope,Michelle Rodriguez,Beneficial Owner,1,0,0,0
