id,product_services,revenue_omu,type,country,company_type,company_size
1 and Sagl Forwading,Total logistics solutions,18529.114,Company,Kondanovia,Sagl,2
1 AS Marine sanctuary,"Scrapbook embellishment, DIY kits, beads, styrofoam, doll accessories, crafty tools, funfoam shapes, stencils, wood bits, ribbons, craft paper",,Company,Isliandor,A/S,2
1 Eel Corporation Transport,,19666.6728,Company,Oceanus,Co,0
1 Ltd. Corporation Transport,,5364.3171,Company,Coral Solis,Co,0
1 Ltd. Liability Co,,7786.6728,Company,Oceanus,Limited,1
1 Ltd. Liability Co Cargo,,,Company,Mawandia,Limited,1
1 S.A. de C.V.,,,Company,Oceanus,S.A. de C.V.,1
1 Swordfish Ltd Solutions,,6756.6728,Company,Oceanus,Limited,1
2 Flounder ОАО Consultants,"Sauce and condiment, drinks, canned food, frozen fish and seafood and meat, noodles, rice products, dried food, dried spices, tea leaves, beverages and mix, snacks, preserved and pickled food, and ready to eat pouches",10386.6728,Company,Oceanus,ОАО,0
2 Limited Liability Company,"Canning, processing and manufacturing of seafood and other aquatic products",,Company,Marebak,Limited,4
2 Limited Liability Company,,,Company,Marebak,Limited,4
2 S.A. de C.V.,,12566.6728,Company,Oceanus,S.A. de C.V.,1
3 Coast Sp Marine,,,Company,Puerto del Mar,Sp,1
3 Limited Liability Company,"Fibres, yarns, greige goods, apparel fabrics, garments, and home textiles to higher end and discount market segments",26866.6728,Company,Oceanus,Limited,1
3 Ltd. Liability Co Transit,European specialty food products,112666.6728,Company,Oceanus,Limited,1
3 S.p.A. and Son's,,8913.1262,Company,Marebak,S.p.A.,3
3 SE & Son's,Anodes and chemicals for the worldwide plating industry,26966.6728,Company,Oceanus,Sons,1
4 Limited Liability Company Seaport,Providing cold storage and freezing products services,33159.786,Company,Mawazam,Limited,5
4 N.V. Marine biology,,13358.9185,Company,Brindisola,N.V.,3
4 S.A. de C.V. Coral Reef,,14387.0986,Company,Coral Solis,S.A. de C.V.,0
5 Flounder S.p.A. Transport,Engineering services in the iron and steel industry and the non-ferrous metals sector,19125.969,Company,Utoparadia,S.p.A.,1
5 Limited Liability Company,"Specialises in the production and trade of high-performance adhesives , polymer special chemicals as well as involved in the development, production and sales of environmentally friendly combination of hot melt adhesive, 3 seconds instant glue and other agents",133680.9321,Company,Isliandor,Limited,3
5 Oyj Marine life,,53566.6728,Company,Oceanus,Oyj,1
6 Barge Oyj Cargo,,,Company,Oceanus,Oyj,5
6 GmbH & Co. KG,,18866.6728,Company,Oceanus,Ges.m.b.H,1
6 LC & Son's,,5372.4219,Company,Marebak,Sons,2
7 Beachcomber ОАО Carriers,,5006.6728,Company,Oceanus,ОАО,0
