type,weight,source,target,key,source_id,source_country,target_id,target_country
ownership,0.9642126,Spanish Shrimp  Carriers,3506021,0,Spanish Shrimp  Carriers,Nalakond,3506021,Unknown
family_relationship,0.82348585,Spanish Shrimp  Carriers,Conventionâ,0,Spanish Shrimp  Carriers,Nalakond,Conventionâ,Unknown
membership,0.8986875,Spanish Shrimp  Carriers,Ancla Azul Company Solutions,0,Spanish Shrimp  Carriers,Nalakond,Ancla Azul Company Solutions,Unknown
partnership,0.87834406,Spanish Shrimp  Carriers,185106,0,Spanish Shrimp  Carriers,Nalakond,185106,Unknown
family_relationship,0.9664978,Spanish Shrimp  Carriers,Stephanie Garner,0,Spanish Shrimp  Carriers,Nalakond,Stephanie Garner,Country_271835
membership,0.95491886,Spanish Shrimp  Carriers,âpair,0,Spanish Shrimp  Carriers,Nalakond,âpair,Unknown
ownership,0.906598,Spanish Shrimp  Carriers,Guessl,0,Spanish Shrimp  Carriers,Nalakond,Guessl,Unknown
ownership,0.85037404,Spanish Shrimp  Carriers,Federated,0,Spanish Shrimp  Carriers,Nalakond,Federated,Unknown
family_relationship,0.8211689,Spanish Shrimp  Carriers,94760735,0,Spanish Shrimp  Carriers,Nalakond,94760735,Unknown
family_relationship,0.91274184,Spanish Shrimp  Carriers,83,0,Spanish Shrimp  Carriers,Nalakond,83,Unknown
ownership,0.8865423,Spanish Shrimp  Carriers,imo,0,Spanish Shrimp  Carriers,Nalakond,imo,Unknown
partnership,0.92457855,Spanish Shrimp  Carriers,Torremolinos,0,Spanish Shrimp  Carriers,Nalakond,Torremolinos,Unknown
ownership,0.91700685,Spanish Shrimp  Carriers,International-Convention,0,Spanish Shrimp  Carriers,Nalakond,International-Convention,Unknown
membership,0.85606986,Spanish Shrimp  Carriers,551,0,Spanish Shrimp  Carriers,Nalakond,551,Unknown
partnership,0.8461635,Spanish Shrimp  Carriers,314,0,Spanish Shrimp  Carriers,Nalakond,314,Unknown
family_relationship,0.8872652,Spanish Shrimp  Carriers,FinestSea Ltd. Corporation Enterprises,0,Spanish Shrimp  Carriers,Nalakond,FinestSea Ltd. Corporation Enterprises,Unknown
membership,0.89786583,Spanish Shrimp  Carriers,653,0,Spanish Shrimp  Carriers,Nalakond,653,Unknown
partnership,0.8711762,Spanish Shrimp  Carriers,Playa de la Felicidad Oyj Cargo,0,Spanish Shrimp  Carriers,Nalakond,Playa de la Felicidad Oyj Cargo,Unknown
membership,0.88794583,Spanish Shrimp  Carriers,77b46bc7-7e31-41a0-973c-e633011d21b0,0,Spanish Shrimp  Carriers,Nalakond,77b46bc7-7e31-41a0-973c-e633011d21b0,Unknown
membership,0.89960074,Spanish Shrimp  Carriers,âencounteredâ,0,Spanish Shrimp  Carriers,Nalakond,âencounteredâ,Unknown
family_relationship,0.89385,Spanish Shrimp  Carriers,f7a4114d-d1ca-44df-a7e0-c72e440671ba,0,Spanish Shrimp  Carriers,Nalakond,f7a4114d-d1ca-44df-a7e0-c72e440671ba,Unknown
membership,0.8977303,Spanish Shrimp  Carriers,39,0,Spanish Shrimp  Carriers,Nalakond,39,Unknown
partnership,0.85345495,Spanish Shrimp  Carriers,3433,0,Spanish Shrimp  Carriers,Nalakond,3433,Unknown
family_relationship,0.954674,Spanish Shrimp  Carriers,Kara Sullivan,0,Spanish Shrimp  Carriers,Nalakond,Kara Sullivan,Country_271835
partnership,0.9264291,Spanish Shrimp  Carriers,52093e45-b873-4300-9612-8dfc291b1339,0,Spanish Shrimp  Carriers,Nalakond,52093e45-b873-4300-9612-8dfc291b1339,Unknown
