type,country,id,community
company,Nalakond,Spanish Shrimp  Carriers,8
organization,Unknown,185040354,0
organization,Unknown,4,0
organization,Unknown,860067396,8
organization,Unknown,664738735,8
location,Unknown,77b46bc7-7e31-41a0-973c-e633011d21b0,1
organization,Unknown,7,0
organization,Unknown,7,0
organization,Unknown,35,0
political_organization,Unknown,6406040,0
person,Country_271835,Jamie Knox,0
organization,Unknown,3506021,8
political_organization,Unknown,348079,8
political_organization,Unknown,78,8
organization,Unknown,300668979,8
organization,Unknown,2,8
organization,Unknown,5,9
organization,Unknown,7298083,0
organization,Unknown,9,5
person,Oceanus,Amanda Mckenzie,9
organization,Unknown,8698,10
person,Country_271835,Claire Russell,10
organization,Unknown,964,10
organization,Unknown,93873119,0
person,Country_271835,Jeremy Cordova,5
location,Unknown,602ea158-0519-47fc-badc-787721580418,5
location,Unknown,f20779bf-63b5-4ea4-bb5f-944bb9449bce,5
organization,Unknown,349,5
organization,Unknown,84616,5
location,Unknown,ee05a28e-82ba-4f1d-a60f-68797a422ada,8
organization,Unknown,83,8
Uncategorized,Unknown,âunregulatedâ,5
organization,Unknown,2989,0
location,Unknown,df42b319-be6a-4a2e-b11d-c4da7ecfc01c,2
organization,Unknown,185106,2
organization,Unknown,26,5
organization,Unknown,860600018,1
organization,Unknown,435054320,2
vessel,Unknown,Cutter,2
Uncategorized,Unknown,Sept,9
person,Nalakond,John Gonzalez,1
organization,Unknown,9203,5
organization,Unknown,3878194,8
person,Country_271835,Amy Kent,8
Uncategorized,Unknown,Conventionâ,8
vessel,Unknown,water fishing,5
organization,Unknown,760079,5
organization,Unknown,3009706,5
location,Unknown,0f5fd4f9-1683-464e-9459-a4488de5064b,8
organization,Unknown,449308,0
organization,Unknown,200640636,8
person,Country_271835,Debbie Daniel,8
company,Country_628643,png xi  Line,5
organization,Unknown,7361,0
organization,Unknown,5848,8
location,Unknown,d5b94ebc-e03a-438e-872b-a15db349a748,5
person,Country_271835,Ashley Wiggins,5
organization,Unknown,737205,0
person,Country_271835,Clayton Rodgers,5
person,Country_271835,Randy Collins,5
person,Country_271835,Brandon Berger,5
organization,Unknown,4783,5
organization,Unknown,47924922,10
political_organization,Unknown,12845006,10
organization,Unknown,9488645,10
person,Merigrad,Lauren Moore,0
Uncategorized,Unknown,âlocalâ,0
Uncategorized,Unknown,Leominster Provincetownâ,0
location,Unknown,371bf15a-3000-499a-88e4-cc096b028ec7,8
political_organization,Unknown,913428,8
person,Country_271835,Jason Davis,10
person,Country_271835,Kyle Stanton,5
company,Vesperlandia,Mar del Oeste Pic,5
organization,Unknown,8327,2
organization,Unknown,40213337,2
vessel,Unknown,cutters,2
