type,country,id,community
company,Nalakond,Spanish Shrimp  Carriers,25
organization,Unknown,12744,1
organization,Unknown,7775,2
organization,Unknown,1017141,1
organization,Unknown,2591586,1
organization,Unknown,185040354,3
company,Rio Isla,Faroe Islands Shrimp Shark,12
organization,Unknown,341411,11
organization,Unknown,21323516,2
organization,Unknown,8561,2
person,Country_271835,William Bradley,9
person,Country_271835,Joseph Griffin,9
Uncategorized,Unknown,âŠâ,9
organization,Unknown,853949688,11
organization,Unknown,650512,11
organization,Unknown,128692,13
organization,Unknown,172711,13
person,Country_789455,Jacob Caldwell,24
organization,Unknown,14253815,11
location,Unknown,4369922c-ce1d-40ff-904c-1f6a3000bf6b,11
company,Country_271835,Saltwater Solitude GmbH & Co. KG,11
Uncategorized,Unknown,PRK,11
Uncategorized,Unknown,âVikingâ,11
organization,Unknown,506,8
organization,Unknown,4937447,8
Uncategorized,Unknown,âregularâ,13
organization,Unknown,2079436,13
organization,Unknown,589,9
person,Country_712875,Elizabeth Welch,11
location,Unknown,da0a7bbb-5bd1-42aa-bcc0-b8923d5c15d4,11
person,Country_271835,Eugene Ochoa,8
organization,Unknown,967900443,8
person,Country_271835,Lisa Jimenez,3
organization,Unknown,1,3
location,Unknown,445a6124-4650-4e5a-83bb-a0e0b4040ee9,11
organization,Unknown,4,3
organization,Unknown,4975,3
organization,Unknown,7282284,3
organization,Unknown,0,2
person,Country_271835,Sean Vasquez,2
organization,Unknown,196159,2
organization,Unknown,755,2
organization,Unknown,860067396,25
organization,Unknown,664738735,25
organization,Unknown,290834957,3
person,Country_271835,Timothy Reeves,2
organization,Unknown,457009514,3
organization,Unknown,6043477,3
organization,Unknown,526269,3
person,Oceanus,Jason Cameron,6
location,Unknown,77b46bc7-7e31-41a0-973c-e633011d21b0,25
organization,Unknown,7,3
organization,Unknown,7,3
organization,Unknown,35,3
political_organization,Unknown,6406040,3
person,Country_271835,Jamie Knox,3
person,Country_271835,Kristin Graham,3
organization,Unknown,99575926,3
political_organization,Unknown,72371354,3
organization,Unknown,55,13
political_organization,Unknown,766649,13
organization,Unknown,955425,13
organization,Unknown,132,2
organization,Unknown,8701038,3
organization,Unknown,9067,2
organization,Unknown,750975,2
organization,Unknown,3404599,2
political_organization,Unknown,85117949,2
organization,Unknown,3506021,25
political_organization,Unknown,348079,25
political_organization,Unknown,78,25
organization,Unknown,95,25
organization,Unknown,245,4
organization,Unknown,300668979,25
Uncategorized,Unknown,âNoticesââ,20
organization,Unknown,651,20
political_organization,Unknown,7845,2
organization,Unknown,265700083,24
organization,Unknown,47679,13
location,Unknown,d0123474-8425-4ab0-90d5-175920158638,9
organization,Unknown,425887173,11
organization,Unknown,86597,3
location,Unknown,405ab2a5-68f0-4304-ab94-24c7995a248e,3
political_organization,Unknown,44842,3
location,Unknown,e2b334d9-4d51-40b2-a7b1-441b88400b75,3
political_organization,Unknown,68,3
organization,Unknown,610,3
organization,Unknown,4063,10
organization,Unknown,740523,10
vessel,Unknown,Marine,10
Uncategorized,Unknown,255â273,1
location,Unknown,91dcf36d-dba8-41e8-a4cc-912981a27296,3
organization,Unknown,69150209,12
organization,Unknown,2,1
organization,Unknown,72,12
organization,Unknown,35881,12
location,Unknown,06430a2c-805a-4a76-bbda-2a24c0c860d7,3
person,Nalakond,Derek Burke,12
political_organization,Unknown,490653,13
political_organization,Unknown,888,13
organization,Unknown,775298545,11
organization,Unknown,26676370,11
company,Country_271835,Viento Azul Harbor LLC Investment,11
vessel,Unknown,Viking fishing,11
organization,Unknown,44956,2
political_organization,Unknown,3,2
organization,Unknown,5,21
location,Unknown,0715f2ea-3d11-4eaa-a0c4-fb3290896531,8
vessel,Unknown,77,5
person,Oceanus,Andrea Gibson,8
movement,Unknown,hours,1
organization,Unknown,7298083,3
organization,Unknown,21,2
organization,Unknown,6,2
person,Country_271835,Alexander Buchanan,2
person,Oceanus,Maria Mitchell,2
organization,Unknown,9,1
